inchi	names	iupac_name	smiles	cid	record_ids	logBB	logBB_group	BBB+/BBB-	BBB+/BBB-_group	split
InChI=1S/C10H11ClF3N3/c11-9-7(10(12,13)14)1-2-8(16-9)17-5-3-15-4-6-17/h1-2,15H,3-6H2	210821-63-9|Chebi: 568657|Org12962|B-103, Org12962|Org-12962|Org12692|1-(6-Chloro-5-(Trifluoromethyl)Pyridin-2-Yl)Piperazine	1-[6-chloro-5-(trifluoromethyl)pyridin-2-yl]piperazine	FC(F)(F)c1ccc(N2CCNCC2)nc1Cl	9796408.0	R4_mente_2005:161|R21_muehlbacher_2011:327|R25_brito_sanchez_2015:334|R26_chico_2009:70|R28_li_2005:33|R40_vilar_2010:170|R47_radchenko_2020:302|R49_norinder_2002:143	1.64	B	BBB+	A	test
InChI=1S/C10H11ClFN5O3/c11-10-15-7(13)5-8(16-10)17(2-14-5)9-4(12)6(19)3(1-18)20-9/h2-4,6,9,18-19H,1H2,(H2,13,15,16)/t3-,4+,6-,9-/m1/s1	Clofarabine	(2R,3R,4S,5R)-5-(6-amino-2-chloropurin-9-yl)-4-fluoro-2-(hydroxymethyl)oxolan-3-ol	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F	119182.0	R23_gupta_2019:471			BBB-	C	training
InChI=1S/C10H11ClO3/c1-10(2,9(12)13)14-8-5-3-7(11)4-6-8/h3-6H,1-2H3,(H,12,13)	Clofibric Acid	2-(4-chlorophenoxy)-2-methylpropanoic acid	CC(C)(Oc1ccc(Cl)cc1)C(=O)O	2797.0	R7_andres_2006:37|R29_subramanian_2003:38			BBB-	C	training
InChI=1S/C10H11ClO3/c1-6-5-8(11)3-4-9(6)14-7(2)10(12)13/h3-5,7H,1-2H3,(H,12,13)	Mecoprop	2-(4-chloro-2-methylphenoxy)propanoic acid	Cc1cc(Cl)ccc1OC(C)C(=O)O	7153.0	R7_andres_2006:99			BBB+	C	training
InChI=1S/C10H11F3N2O5/c11-10(12,13)4-2-15(9(19)14-8(4)18)7-1-5(17)6(3-16)20-7/h2,5-7,16-17H,1,3H2,(H,14,18,19)/t5-,6+,7+/m0/s1	Trifluridine	1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-(trifluoromethyl)pyrimidine-2,4-dione	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F	6256.0	R23_gupta_2019:1001			BBB-	C	training
InChI=1S/C10H11I2NO3/c1-2-3-16-9(14)6-13-4-7(11)10(15)8(12)5-13/h4-5H,2-3,6H2,1H3	Propyliodone	propyl 2-(3,5-diiodo-4-oxopyridin-1-yl)acetate	CCCOC(=O)Cn1cc(I)c(=O)c(I)c1	4949.0	R23_gupta_2019:1081			BBB-	C	training
InChI=1S/C10H11N5S/c11-7-3-1-2-6(4-7)8-5-16-10(14-8)15-9(12)13/h1-5H,11H2,(H4,12,13,14,15)	Skb20|Bbcpd57|72801-60-6|Chebi: 338063|B-053|17|11|1-(4-(3-Aminophenyl)Thiazol-2-Yl)Guanidine	2-[4-(3-aminophenyl)-1,3-thiazol-2-yl]guanidine	NC(N)=Nc1nc(-c2cccc(N)c2)cs1	14022509.0	R3_abraham_2006:261|R3_abraham_2006:310|R4_mente_2005:144|R12_garg_2006:41|R21_muehlbacher_2011:353|R25_brito_sanchez_2015:11|R26_chico_2009:52|R28_li_2005:155|R40_vilar_2010:247|R41_toropov_2017:233|R46_mendoza_valencia_2017:11|R47_radchenko_2020:216|R48_hou_2003:45|R49_norinder_2002:17|R49_norinder_2002:169|R52_liu_2001:17	-1.15	B	BBB-	A	training
InChI=1S/C10H11NO4S2/c1-6(9(14)11-5-8(12)13)17-10(15)7-3-2-4-16-7/h2-4,6H,5H2,1H3,(H,11,14)(H,12,13)	Stepronin	2-[2-(thiophene-2-carbonylsulfanyl)propanoylamino]acetic acid	CC(SC(=O)c1cccs1)C(=O)NCC(=O)O	54120.0	R23_gupta_2019:924			BBB-	C	training
InChI=1S/C10H12ClN3/c1-7-2-3-9(8(11)6-7)14-10-12-4-5-13-10/h2-3,6H,4-5H2,1H3,(H2,12,13,14)	4201-22-3|Tz-13|Tolonidine	N-(2-chloro-4-methylphenyl)-4,5-dihydro-1H-imidazol-2-amine	Cc1ccc(NC2=NCCN2)c(Cl)c1	72138.0	R4_mente_2005:5|R25_brito_sanchez_2015:561|R40_vilar_2010:285|R47_radchenko_2020:483	-0.65	B	BBB+	A	training
InChI=1S/C10H12ClN3/c1-7-6-8(11)2-3-9(7)14-10-12-4-5-13-10/h2-3,6H,4-5H2,1H3,(H2,12,13,14)	4201-26-7|Tz-12|2-(2-Methyl-4-Chlorophenylamino)-2-Imidazoline	N-(4-chloro-2-methylphenyl)-4,5-dihydro-1H-imidazol-2-amine	Cc1cc(Cl)ccc1NC1=NCCN1	77870.0	R4_mente_2005:4|R25_brito_sanchez_2015:560|R40_vilar_2010:284|R47_radchenko_2020:482	-0.87	B	BBB+	A	training
InChI=1S/C10H12ClN3O3S/c1-2-9-13-7-4-6(11)8(18(12,16)17)3-5(7)10(15)14-9/h3-4,9,13H,2H2,1H3,(H,14,15)(H2,12,16,17)	Quinethazone	7-chloro-2-ethyl-4-oxo-2,3-dihydro-1H-quinazoline-6-sulfonamide	CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1	6307.0	R14_ghose_2012:812|R23_gupta_2019:872			BBB-	C	training
InChI=1S/C10H12ClN5O3/c11-10-14-8(12)7-9(15-10)16(3-13-7)6-1-4(18)5(2-17)19-6/h3-6,17-18H,1-2H2,(H2,12,14,15)/t4-,5+,6+/m0/s1	Cladribine	(2R,3S,5R)-5-(6-amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol	Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1	20279.0	R28_li_2005:249			BBB+	C	training
InChI=1S/C10H12ClNO/c11-7-6-10(13)12-8-9-4-2-1-3-5-9/h1-5H,6-8H2,(H,12,13)	Beclamide	N-benzyl-3-chloropropanamide	O=C(CCCl)NCc1ccccc1	10391.0	R6_adenot_2004:423			BBB+	C	training
InChI=1S/C10H12ClNO2/c11-9-3-1-7(2-4-9)8(6-12)5-10(13)14/h1-4,8H,5-6,12H2,(H,13,14)	Baclofen	4-amino-3-(4-chlorophenyl)butanoic acid	NCC(CC(=O)O)c1ccc(Cl)cc1	2284.0	R7_andres_2006:15|R14_ghose_2012:15|R25_brito_sanchez_2015:372|R29_subramanian_2003:15|R46_mendoza_valencia_2017:325|R53_friden_2009:4	-1.51	B	BBB-	A	training
InChI=1S/C10H12ClNO4/c11-7-1-3-9(4-2-7)15-5-8(13)6-16-10(12)14/h1-4,8,13H,5-6H2,(H2,12,14)	Chlorphenesin-Carbamate|Chlorphenesin Carbamate	[3-(4-chlorophenoxy)-2-hydroxypropyl] carbamate	NC(=O)OCC(O)COc1ccc(Cl)cc1	2724.0	R6_adenot_2004:1440			BBB+	C	training
InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3	1-Methyl-5-(3-Pyridinyl)-2-Pyrrolidinone	1-methyl-5-pyridin-3-ylpyrrolidin-2-one	CN1C(=O)CCC1c1cccnc1	408.0	R41_toropov_2017:142|R46_mendoza_valencia_2017:180	-0.35	B	BBB+	A	training
InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3/t9-/m0/s1	Cotinine|486-56-6	(5S)-1-methyl-5-pyridin-3-ylpyrrolidin-2-one	CN1C(=O)CC[C@H]1c1cccnc1	854019.0	R3_abraham_2006:152|R3_abraham_2006:153|R4_mente_2005:174|R6_adenot_2004:516|R21_muehlbacher_2011:8|R25_brito_sanchez_2015:194|R26_chico_2009:137|R40_vilar_2010:87|R47_radchenko_2020:128	-0.38	D	BBB+	A	training
InChI=1S/C10H12N2O2/c13-10(9-2-1-3-11-8-9)12-4-6-14-7-5-12/h1-3,8H,4-7H2	Nicopholine	morpholin-4-yl(pyridin-3-yl)methanone	O=C(c1cccnc1)N1CCOCC1	68116.0	R6_adenot_2004:1263			BBB+	C	test
InChI=1S/C10H12N2O2S/c13-15(14)9-5-2-1-4-8(9)12-7-3-6-10(12)11-15/h1-2,4-5,10-11H,3,6-7H2/t10-/m1/s1	S18986|(3As)-2,3,3A,4-Tetrahydro-1H-Pyrrolo[2,1-C][1,2,4]Benzothiadiazine 5,5-Dioxide	(3aS)-2,3,3a,4-tetrahydro-1H-pyrrolo[2,1-c][1,2,4]benzothiadiazine 5,5-dioxide	O=S1(=O)N[C@H]2CCCN2c2ccccc21	637863.0	R26_chico_2009:360	-0.6	A	BBB+	A	training
InChI=1S/C10H12N2O3/c1-3-5-10(6-4-2)7(13)11-9(15)12-8(10)14/h3-4H,1-2,5-6H2,(H2,11,12,13,14,15)	Allobarbital	5,5-bis(prop-2-enyl)-1,3-diazinane-2,4,6-trione	C=CCC1(CC=C)C(=O)NC(=O)NC1=O	5842.0	R6_adenot_2004:1674|R25_brito_sanchez_2015:115|R46_mendoza_valencia_2017:113	-0.22	B	BBB+	A	test
InChI=1S/C10H12N2O4/c1-6-4-12(10(15)11-9(6)14)8-3-2-7(5-13)16-8/h2-4,7-8,13H,5H2,1H3,(H,11,14,15)	1-[5-(Hydroxymethyl)-2,5-Dihydrofuran-2-Yl]-5-Methylpyrimidine-2,4-Dione	1-[5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-methylpyrimidine-2,4-dione	Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O	5155.0	R41_toropov_2017:249|R46_mendoza_valencia_2017:153	-0.48	B	BBB+	A	training
InChI=1S/C10H12N2O4/c1-6-4-12(10(15)11-9(6)14)8-3-2-7(5-13)16-8/h2-4,7-8,13H,5H2,1H3,(H,11,14,15)/t7-,8+/m0/s1	Stavudine	1-[(2R,5S)-5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-methylpyrimidine-2,4-dione	Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O	18283.0	R3_abraham_2006:277|R14_ghose_2012:854|R21_muehlbacher_2011:125|R23_gupta_2019:923|R25_brito_sanchez_2015:157|R26_chico_2009:390|R28_li_2005:287|R40_vilar_2010:261|R47_radchenko_2020:232	-0.48	B	BBB+	A	training
InChI=1S/C10H12N2O6S/c1-3(13)5-7(14)12-6(9(15)16)4(19-8(5)12)2-18-10(11)17/h3,5,8,13H,2H2,1H3,(H2,11,17)(H,15,16)/t3-,5+,8-/m1/s1	Ritipenem	(5R,6S)-3-(carbamoyloxymethyl)-6-[(1R)-1-hydroxyethyl]-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid	C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)S[C@H]12	65633.0	R6_adenot_2004:261			BBB-	C	test
InChI=1S/C10H12N4O3/c1-14-4-9(16)5-2-6(12-13-10(11)17)8(15)3-7(5)14/h2-3,9,15-16H,4H2,1H3,(H2,11,17)/b13-12+	Carbazochrome	(3,6-dihydroxy-1-methyl-2,3-dihydroindol-5-yl)iminourea	CN1CC(O)c2cc(/N=N/C(N)=O)c(O)cc21	2557.0	R14_ghose_2012:418			BBB-	C	training
InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)	9-[5-(Hydroxymethyl)Tetrahydrofuran-2-Yl]-9H-Purin-6-Ol	9-[5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one	O=c1[nH]cnc2c1ncn2C1CCC(CO)O1	135422442.0	R41_toropov_2017:150|R46_mendoza_valencia_2017:194	-1.3	B	BBB-	A	training
InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m0/s1	Didanosine|69655-05-6	9-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one	O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1	135398739.0	R3_abraham_2006:162|R4_mente_2005:37|R5_guerra_2008:38|R7_andres_2006:194|R12_garg_2006:73|R14_ghose_2012:495|R17_fu_2008:52|R23_gupta_2019:520|R25_brito_sanchez_2015:210|R26_chico_2009:162|R28_li_2005:19|R47_radchenko_2020:136|R49_norinder_2002:103	-1.3	B	BBB-	A	training
InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m1/s1	9-[(2S,5R)-5-(Hydroxymethyl)Oxolan-2-Yl]-3H-Purin-6-One	9-[(2S,5R)-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one	O=c1[nH]cnc2c1ncn2[C@@H]1CC[C@H](CO)O1	135483777.0	R48_hou_2003:43	-1.3	A	BBB-	A	training
InChI=1S/C10H12N4O5S/c1-10(5-13-3-2-11-12-13)8(9(16)17)14-6(15)4-7(14)20(10,18)19/h2-3,7-8H,4-5H2,1H3,(H,16,17)/t7-,8+,10+/m1/s1	Tazobactam	(2S,3S,5R)-3-methyl-4,4,7-trioxo-3-(triazol-1-ylmethyl)-4lambda6-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid	C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O	123630.0	R6_adenot_2004:281|R23_gupta_2019:955			BBB-	C	training
InChI=1S/C10H12N4OS/c1-7(15)13-9-4-2-8(3-5-9)6-12-14-10(11)16/h2-6H,1H3,(H,13,15)(H3,11,14,16)/b12-6+	Thiacetazone|N-(4-((2-Carbamothioylhydrazono)Methyl)Phenyl)Acetamide	N-[4-[(Z)-(carbamothioylhydrazinylidene)methyl]phenyl]acetamide	CC(=O)Nc1ccc(/C=N\NC(N)=S)cc1	5370664.0	R14_ghose_2012:888			BBB-	C	training
InChI=1S/C10H13ClN2/c11-9-2-1-3-10(8-9)13-6-4-12-5-7-13/h1-3,8,12H,4-7H2	1-(3-Chlorophenyl)Piperazine	1-(3-chlorophenyl)piperazine	Clc1cccc(N2CCNCC2)c1	1355.0	R29_subramanian_2003:93			BBB+	C	test
InChI=1S/C10H13ClN2O3S/c1-2-7-12-10(14)13-17(15,16)9-5-3-8(11)4-6-9/h3-6H,2,7H2,1H3,(H2,12,13,14)	Chlorpropamide	1-(4-chlorophenyl)sulfonyl-3-propylurea	CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1	2727.0	R14_ghose_2012:446|R23_gupta_2019:453|R51_doninger_2002:24			BBB-	C	training
InChI=1S/C10H13FN2O4/c1-5-3-13(10(16)12-9(5)15)8-2-6(11)7(4-14)17-8/h3,6-8,14H,2,4H2,1H3,(H,12,15,16)	Alovudine Ok|3'-Fluorothymidine	1-[4-fluoro-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione	Cc1cn(C2CC(F)C(CO)O2)c(=O)[nH]c1=O	284240.0	R3_abraham_2006:120|R40_vilar_2010:29|R41_toropov_2017:115|R46_mendoza_valencia_2017:115	-0.59	B	BBB+	A	training
InChI=1S/C10H13FN2O4/c1-5-3-13(10(16)12-9(5)15)8-2-6(11)7(4-14)17-8/h3,6-8,14H,2,4H2,1H3,(H,12,15,16)/t6-,7+,8+/m0/s1	Alovudine	1-[(2R,4S,5R)-4-fluoro-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione	Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O	33039.0	R21_muehlbacher_2011:243|R25_brito_sanchez_2015:117|R26_chico_2009:23|R47_radchenko_2020:102	-0.59	D	BBB+	A	training
InChI=1S/C10H13FN2O5/c1-4-2-13(10(17)12-8(4)16)9-6(11)7(15)5(3-14)18-9/h2,5-7,9,14-15H,3H2,1H3,(H,12,16,17)	Clevudine|2'-Fluorothymidine	1-[3-fluoro-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione	Cc1cn(C2OC(CO)C(O)C2F)c(=O)[nH]c1=O	352992.0	R23_gupta_2019:468			BBB-	C	training
InChI=1S/C10H13N3/c1-8-4-2-3-5-9(8)13-10-11-6-7-12-10/h2-5H,6-7H2,1H3,(H2,11,12,13)	36318-56-6|Tz-17|Imidazolidine, 2-(2-Methylphenylimino)-	N-(2-methylphenyl)-4,5-dihydro-1H-imidazol-2-amine	Cc1ccccc1NC1=NCCN1	142067.0	R4_mente_2005:8|R25_brito_sanchez_2015:564|R40_vilar_2010:288|R47_radchenko_2020:477	-1.39	B	BBB-	A	training
InChI=1S/C10H13N3/c11-10(12)13-6-5-8-3-1-2-4-9(8)7-13/h1-4H,5-7H2,(H3,11,12)	Debrisoquin|Debrisoquine	3,4-dihydro-1H-isoquinoline-2-carboximidamide	[H]/N=C(\N)N1CCc2ccccc2C1	2966.0	R23_gupta_2019:500			BBB-	C	training
InChI=1S/C10H13N3O5S/c1-8-7-19(16,17)5-4-12(8)11-6-9-2-3-10(18-9)13(14)15/h2-3,6,8H,4-5,7H2,1H3/b11-6+	Nifurtimox|(Z)-N-(3-Methyl-1,1-Dioxo-1,4-Thiazinan-4-Yl)-1-(5-Nitrofuran-2-Yl)Methanimine	(Z)-N-(3-methyl-1,1-dioxo-1,4-thiazinan-4-yl)-1-(5-nitrofuran-2-yl)methanimine	CC1CS(=O)(=O)CCN1/N=C\c1ccc([N+](=O)[O-])o1	6178305.0	R14_ghose_2012:719			BBB-	C	training
InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,11,16H,2,4H2,1H3/p+1	1-[2,3-Dideoxy-3-(Triaza-1,2-Dien-2-Ium-1-Yl)Pentofuranosyl]-4-Hydroxy-5-Methylpyrimidin-2(1H)-One	[2-(hydroxymethyl)-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-3-yl]imino-iminoazanium	Cc1cn(C2CC(N=[N+]=N)C(CO)O2)c(=O)[nH]c1=O	6327751.0	R46_mendoza_valencia_2017:238	-0.72	A	BBB+	A	training
InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)	1-[(2R,4S,5S)-4-Azido-5-(Hydroxymethyl)Oxolan-2-Yl]-5-Methyl-Pyrimidine-2,4-Dione	1-[4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione	Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O	5726.0	R41_toropov_2017:269|R42_ciura_2020:45	-0.86	C	BBB+	A	training
InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)/t6-,7+,8+/m0/s1	Zidovudine|30516-87-1	1-[(2R,4S,5S)-4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione	Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O	35370.0	R3_abraham_2006:302|R4_mente_2005:42|R5_guerra_2008:107|R7_andres_2006:223|R17_fu_2008:53|R21_muehlbacher_2011:140|R25_brito_sanchez_2015:265|R26_chico_2009:444|R28_li_2005:129|R34_broccatelli_2012:100|R40_vilar_2010:305|R47_radchenko_2020:307|R49_norinder_2002:104|R51_doninger_2002:145|R53_friden_2009:42	-0.72	D	BBB+	A	training
InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)/t6-,7-,8-/m0/s1	1-[(2S,4S,5R)-4-Azido-5-(Hydroxymethyl)Oxolan-2-Yl]-5-Methylpyrimidine-2,4-Dione	1-[(2S,4S,5R)-4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione	Cc1cn([C@@H]2C[C@H](N=[N+]=[N-])[C@H](CO)O2)c(=O)[nH]c1=O	6713644.0	R48_hou_2003:51	-0.72	A	BBB+	A	training
InChI=1S/C10H13NO2/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6H,2,7,11H2,1H3	Propyl-4-Aminobenzoate|Risocaine	propyl 4-aminobenzoate	CCCOC(=O)c1ccc(N)cc1	7174.0	R3_abraham_2006:242|R21_muehlbacher_2011:173|R25_brito_sanchez_2015:366|R40_vilar_2010:222|R41_toropov_2017:216|R46_mendoza_valencia_2017:320|R47_radchenko_2020:201	0.55	B	BBB+	A	training
InChI=1S/C10H13NO2/c11-10(12)13-8-4-7-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H2,11,12)	Phenprobamate	3-phenylpropyl carbamate	NC(=O)OCCCc1ccccc1	4770.0	R6_adenot_2004:1502|R51_doninger_2002:283			BBB+	C	test
InChI=1S/C10H13NO3/c12-6-7-14-10(13)11-8-9-4-2-1-3-5-9/h1-5,12H,6-8H2,(H,11,13)	Buramate	2-hydroxyethyl N-benzylcarbamate	O=C(NCc1ccccc1)OCCO	20787.0	R6_adenot_2004:1424|R51_doninger_2002:168			BBB+	C	training
InChI=1S/C10H13NO4/c1-10(11,9(14)15)5-6-2-3-7(12)8(13)4-6/h2-4,12-13H,5,11H2,1H3,(H,14,15)/t10-/m0/s1	Methyldopa	(2S)-2-amino-3-(3,4-dihydroxyphenyl)-2-methylpropanoic acid	C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O	38853.0	R50_sobanska_2019:47|R51_doninger_2002:91			BBB-	C	test
InChI=1S/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3	T-Butylbenzene|Tert-Butylbenzene	tert-butylbenzene	CC(C)(C)c1ccccc1	7366.0	R3_abraham_2006:93|R21_muehlbacher_2011:178|R25_brito_sanchez_2015:149|R40_vilar_2010:397|R41_toropov_2017:88|R46_mendoza_valencia_2017:146|R47_radchenko_2020:75	0.43	B	BBB+	A	training
InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3	3-(1-Methylpyrrolidin-2-Yl)Pyridine	3-(1-methylpyrrolidin-2-yl)pyridine	CN1CCCC1c1cccnc1	942.0	R41_toropov_2017:190|R42_ciura_2020:27|R46_mendoza_valencia_2017:282	0.24	D	BBB+	A	test
