compound_name	smiles	CID	logBB	BBB+/BBB-
bromocriptine	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O	2443	-1.1	
bromperidol	C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F	2448	1.38	
bunitrolol	CC(C)(C)NCC(COC1=CC=CC=C1C#N)O	2473	0.38	
buspirone	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4	2477	0.49	
butamben	CCCCOC(=O)C1=CC=C(C=C1)N	2482	0.42	
caffeine	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	2519	-0.04	
verapamil	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC	2520	-0.64	
carbamazepine	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N	2554	-0.04	
carbamazepine epoxide	C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C4N2C(=O)N	2555	-0.34	
carmustine	C(CCl)NC(=O)N(CCCl)N=O	2578	-0.52	
carteolol	CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O	2583	0.01	
cetirizine	C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl	2678	-2.15	
chlorambucil	C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl	2708	-1.7	
chlorpromazine	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl	2726	1.02	
cimetidine	CC1=C(N=CN1)CSCCNC(=NC)NC#N	2756	-1.06	
clobazam	CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3	2789	0.36	
clonidine	C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl	2803	0.12	
desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	2995	1.08	
nordiazepam	C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3	2997	0.52	
amphetamine	CC(CC1=CC=CC=C1)N	3007	0.93	
diazepam	CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3	3016	0.47	
didanosine	C1CC(OC1CO)N2C=NC3=C2NC=NC3=O	3043	-1.3	
diphenhydramine	CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2	3100	1.26	
valproic acid	CCCC(CCC)C(=O)O	3121	-0.41	
domperidone	C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O	3151	-0.85	
donepezil	COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC	3152	0.89	
doxylamine	CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C	3162	0.64	
enflurane	C(C(OC(F)F)(F)F)(F)Cl	3226	0.22	
enoxolone	CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C	3230	-1.4	
ethenzamide	CCOC1=CC=CC=C1C(=O)N	3282	-0.05	
ether	CCOCC	3283	0.0	
etodolac	CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O	3308	-1.42	
etoposide	C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O	3310	-2.0	
fentanyl	CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3	3345	0.59	
fexofenadine	CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O	3348	-0.98	
triflumethazine	C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO	3372	1.51	
flumazenil	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C	3373	-0.29	
flunitrazepam	CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F	3380	0.07	
fluoxetine	CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F	3386	0.72	
gentisic acid	C1=CC(=C(C=C1O)C(=O)O)O	3469	0.09	
granisetron	CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C	3510	-0.69	
haloperidol	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F	3559	1.33	
halothane	C(C(F)(F)F)(Cl)Br	3562	0.32	
hexobarbital	CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2	3608	0.03	
hydroxyzine	C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl	3658	0.36	
ibuprofen	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O	3672	-0.18	
lidocaine	CCN(CC)CC(=O)NC1=C(C=CC=C1C)C	3676	0.34	
imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	3696	0.98	
indomethacin	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O	3715	-1.26	
isoflurane	C(C(F)(F)F)(OC(F)F)Cl	3763	0.37	
isopropanol	CC(C)O	3776	-0.15	
lamotrigine	C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N	3878	0.29	
loperamide	CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4	3955	0.77	
lorazepam	C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl	3958	0.44	
mefloquine	C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O	4046	0.63	
mesoridazine	CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C	4078	-0.28	
methotrexate	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O	4112	-1.51	
methoxyflurane	COC(C(Cl)Cl)(F)F	4116	0.23	
metoprolol	CC(C)NCC(COC1=CC=C(C=C1)CCOC)O	4171	1.15	
mianserin	CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42	4184	0.99	
midazolam	CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F	4192	0.37	
mirtazapine	CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4	4205	0.53	
nalidixic acid	CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O	4421	-0.66	
nevirapine	CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4	4463	0.0	
olanzapine	CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C	4585	0.78	
omeprazole	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC	4594	-0.82	
oxazepam	C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O	4616	0.6	
paraxanthine	CN1C=NC2=C1C(=O)N(C(=O)N2)C	4687	0.07	
pentazocine	CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O	4736	0.51	
pentobarbital	CCCC(C)C1(C(=O)NC(=O)NC1=O)CC	4737	0.08	
phenylbutazone	CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3	4781	-0.52	
pindolol	CC(C)NCC(COC1=CC=CC2=C1C=CN2)O	4828	-0.14	
primidone	CCC1(C(=O)NCNC1=O)C2=CC=CC=C2	4909	-0.07	
procaine	CCN(CC)CCOC(=O)C1=CC=C(C=C1)N	4914	0.05	
promazine	CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31	4926	1.08	
propofol	CC(C)C1=C(C(=CC=C1)C(C)C)O	4943	0.63	
propranolol	CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O	4946	0.84	
pyrilamine	CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2	4992	0.49	
ranitidine	CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C	5039	-1.23	
ribavirin	C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N	5064	-0.67	
risperidone	CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F	5073	-0.02	
rolipram	COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3	5092	0.61	
ropinirole	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1	5095	0.08	
S-methyl-isothiourea	CSC(=N)N	5142	-0.6	
stavudine	CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO	5155	-0.48	
scopolamine	CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4	5184	0.23	
secobarbital	CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C	5193	0.2	
sevoflurane	C(OC(C(F)(F)F)C(F)(F)F)F	5206	0.3	
sotalol	CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O	5253	-0.28	
spiperone	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F	5265	0.26	
terbinafine	CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21	5402	0.08	
terfenadine	CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O	5405	0.64	
krypton	[Kr]	5416	-0.16	
theobromine	CN1C=NC2=C1C(=O)NC(=O)N2C	5429	-0.29	
thioridazine	CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC	5452	0.26	
tretinoin	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C	5538	-0.49	
triazolam	CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl	5556	0.67	
trifluoperazine	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F	5566	1.43	
triflupromazine	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F	5568	1.44	
zidovudine	CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-]	5726	-0.74	
zolpidem	CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C	5732	-0.48	
cocaine	CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC	5760	0.6	
scopolamine	CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4	5809	0.23	
pentylenetetrazol	C1CCC2=NN=NN2CC1	5917	-0.03	
quinidine	COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O	5953	-0.21	
vincristine	C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O	5978	-1.03	
physostigmine	CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C	5983	0.08	
aminophenazone	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C	6009	0.0	
levodopa	C1=CC(=C(C=C1CC(C(=O)O)N)O)O	6047	-0.78	
AR 1D9859	CCCCN1CC2CC3=CC(=C(C=C3C2C1)OC)OC.Cl	6085	0.31	
trichloromethane	C(Cl)(Cl)Cl	6212	0.26	
D-mannitol	C(C(C(C(C(CO)O)O)O)O)O	6251	-1.6	
1-pentanol	CCCCCO	6276	0.2	
methylchloroform	CC(Cl)(Cl)Cl	6278	0.24	
methylenechloride	C(Cl)Cl	6344	-0.17	
carbon bisulfide	C(=S)=S	6348	0.6	
trimethylene	C1CC1	6351	0.03	
oxirane	C1CO1	6354	0.01	
2-bromopropane	CC(C)Br	6358	0.56	
ethylidene chloride	CC(Cl)Cl	6365	-0.28	
tert-butylalcohol	CC(C)(C)O	6386	0.11	
hexane	CCC(C)(C)C	6403	1.03	
amylene hydrate	CCC(C)(C)O	6405	0.07	
chlorotrifluoroethane	C(C(F)(F)F)Cl	6408	-0.08	
phencyclidine	C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3	6468	0.58	
butethal	CCCCC1(C(=O)NC(=O)NC1=O)CC	6473	0.19	
isobutanol	CC(C)CO	6560	-0.17	
2-butanone	CCC(=O)C	6569	-0.07	
vinyltrichloride	C(C(Cl)Cl)Cl	6574	-0.1	
trichloroethene	C(=C(Cl)Cl)Cl	6575	0.3	
methylacetate	CC(=O)OC	6584	-0.13	
bisphenol A	CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O	6623	-0.12	
risocaine	CCCOC(=O)C1=CC=C(C=C1)N	7174	0.55	
o-xylene	CC1=CC=CC=C1C	7237	0.39	
pseudocumene	CC1=CC(=C(C=C1)C)C	7247	0.16	
3-methylpentane	CCC(C)CC	7282	1.01	
methylcyclopentane	CC1CCCC1	7296	0.93	
tert-butylbenzene	CC(C)(C)C1=CC=CC=C1	7366	0.43	
4-chlorobenzotrifluoride	C1=CC(=CC=C1C(F)(F)F)Cl	7394	0.17	
ethylbenzene	CCC1=CC=CC=C1	7500	0.22	
vinylbenzene	C=CC1=CC=CC=C1	7501	0.45	
propylhexedrine	CC(CC1CCCCC1)NC	7558	1.08	
p-xylene	CC1=CC=C(C=C1)C	7809	0.33	
N-propylbromide	CCCBr	7840	0.27	
divinyl	C=CC=C	7845	-0.17	
acrylonitrile	C=CC#N	7855	-0.4	
2-propyn-1-ol	C#CCO	7859	-0.23	
isohexane	CCCC(C)C	7892	0.98	
2-pentanone	CCCC(=O)C	7895	-0.01	
isopropyl acetate	CC(C)OC(=O)C	7915	0.4	
m-xylene	CC1=CC(=CC=C1)C	7929	0.28	
cyclohexylmethane	CC1CCCCC1	7962	0.96	
propyl acetate	CCCOC(=O)C	7997	0.12	
n-pentane	CCCCC	8003	0.75	
isobutyl acetate	CC(C)COC(=O)C	8038	0.45	
n-hexane	CCCCCC	8058	0.78	
cyclohexane	C1CCCCC1	8078	0.96	
1-octene	CCCCCCC=C	8125	0.74	
n-nonane	CCCCCCCCC	8141	0.52	
propene	CC=C	8252	-0.06	
iodophenazone	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)I	8522	-0.1	
sec-butylcarbinol	CCC(C)CO	8723	0.04	
ethyl acetate	CCOC(=O)C	8857	0.0	
heptane	CCCCCCC	8900	0.76	
ortal	CCCCCCC1(C(=O)NC(=O)NC1=O)CC	8942	0.36	
methohexitone	CCC#CC(C)C1(C(=O)NC(=O)N(C1=O)C)CC=C	9034	-0.07	
galanthamine	CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O	9651	0.32	
1,1-difluorochloroethylene	C(=C(F)F)Cl	9664	-0.02	
fluoromar	C=COCC(F)(F)F	9844	0.13	
salicylurate	C1=CC=C(C(=C1)C(=O)NCC(=O)O)O	10253	-0.44	
metamphetamine	CC(CC1=CC=CC=C1)NC	10836	0.93	
hexahydro-o-xylene	CC1CCCCC1C	11416	1.07	
2-ethylpentane	CCCC(C)CC	11507	0.9	
2-methylheptane	CCCCCC(C)C	11594	0.86	
pentyl acetate	CCCCCOC(=O)C	12348	0.4	
1,1,1,2-tetrachloroethane	C(C(Cl)(Cl)Cl)Cl	12418	0.33	
tert-butylethylether	CCOC(C)(C)C	12512	0.22	
butaperazine	CCCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)C	12598	0.83	
vinblastine	CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O	13342	-0.07	
2-methylnonane	CCCCCCCC(C)C	13379	1.05	
1-decene	CCCCCCCCC=C	13381	0.96	
tert-butylmethylether	CC(C)(C)OC	15413	0.36	
decane	CCCCCCCCCC	15600	0.67	
elegas	FS(F)(F)(F)(F)F	17358	0.37	
toliprolol	CC1=CC(=CC=C1)OCC(CNC(C)C)O	18047	0.34	
t-butylcyclohexane	CC(C)(C)C1CCCCC1	18508	0.61	
isononane	CCCCCCC(C)C	18591	0.98	
cytisine	C1C2CNCC1C3=CC=CC(=O)N3C2	22407	-1.09	
neon	[Ne]	23935	0.2	
argon	[Ar]	23968	0.03	
xenon	[Xe]	23991	0.07	
zalcitabine	C1CC(OC1CO)N2C=CC(=NC2=O)N	24066	-1.18	
desmonomethylpromazine	CNCCCN1C2=CC=CC=C2SC3=CC=CC=C31	28315	0.59	
digoxin	C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O	30322	-1.23	
butyl acetate	CCCCOC(=O)C	31272	0.28	
isopentyl acetate	CC(C)CCOC(=O)C	31276	0.55	
1-nonene	CCCCCCCC=C	31285	0.86	
tefluranum	C(C(F)(F)F)(F)Br	31300	0.27	
perchloroethylene	C(=C(Cl)Cl)(Cl)Cl	31373	0.37	
pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	31423	0.23	
doxorubicin	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O	31703	-0.83	
sulforidazine	CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)C	31765	0.18	
alovudine	CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)F	33039	-0.59	
miloxacin	CON1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O	37614	-0.92	
suprane	C(C(F)(F)F)(OC(F)F)F	42113	0.11	
5-ethyl-5-heptyl-1,3-diazinane-2,4,6-trione	CCCCCCCC1(C(=O)NC(=O)NC1=O)CC	43473	0.02	
5-ethyl-5-propyl-1,3-diazinane-2,4,6-trione	CCCC1(C(=O)NC(=O)NC1=O)CC	46516	0.09	
pergolide	CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC	47811	0.3	
tiotidine	CN=C(NCCSCC1=CSC(=N1)N=C(N)N)NC#N	50287	-0.82	
lupitidine	CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCSCC3=CC=C(O3)C(C)(C)N.Cl.Cl.Cl	51670	-1.06	
lupitidinum	CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCSCC3=CC=C(O3)C(C)(C)N	51671	-1.06	
yamatetan	CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)[O-])S4)OC)SC2)C(=O)].[Na+].[Na+]	53024	-1.89	
cefotetan	CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O	53025	-1.89	
temelastine	CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCCCC3=NC=C(C=C3C)Br	55482	-1.88	
flesinoxan	C1CN(CCN1CCNC(=O)C2=CC=C(C=C2)F)C3=C4C(=CC=C3)OC(CO4)CO	57347	-0.45	
indinavir	CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC N=CC=C5	60944	-0.74	
apaxifylline	CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCC(=O)C3	60949	-1.4	
tert-amylmethylether	CCC(C)(C)OC	61247	0.17	
thoron	[Rn]	62761	-0.12	
norchlorpromazine	CNCCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl	62875	1.38	
nelfinavir mesylate	CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O.C O)(=O)O	64142	-0.93	
nelfinavir	CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O	64143	-0.93	
3-hydroxy-3-phenylpentamide	CCC(CC(=O)N)(C1=CC=CC=C1)O	64814	0.04	
amprenavir	CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N	65016	-0.56	
4-carboxybiphenyl	C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O	66724	-1.26	
16a-fluoroestradiol	CC12CCC3C(C1CC(C2O)F)CCC4=C3C=CC(=C4)O	67101	-0.3	
sertraline	CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl	68617	1.6	
kusol	C1CC2=CC=CC=C2NC1	69460	0.67	
icotidine	CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCCCC3=C(C=CC=N3)OC	72108	-2.0	
didemethylchlorpromazine	C1=CC=C2C(=C1)N(C3=C(S2)C=CC(=C3)Cl)CCCN	74981	0.97	
1,4-divinyloxybutane	C=COCCCCOC=C	77501	0.12	
rivastigmine	CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C	77991	0.88	
N,N-dimethylpyridine-2-ethylamine	CN(C)CCC1=CC=CC=N1	80554	-0.27	
chlorambucil-t-butylester	CC(C)(C)OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl	83909	1.0	
thiazole-22-aminoethyl	C1=CSC(=N1)CCN	87653	-0.42	
norclobazam	C1C(=O)NC2=C(C=C(C=C2)Cl)N(C1=O)C3=CC=CC=C3	89657	0.35	
ST 363	C1CN=C(N1)NC2=C(C=C(C=C2)Cl)Cl	90274	0.16	
tripropylphosphine	CC1CCC(C(C1)C)C	91517	1.02	
zolantidine	C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3	91769	0.14	
fluoromisonidazole	C1=CN(C(=N1)[N+](=O)[O-])CC(CF)O	92242	-0.01	
alpha-(4-pyridyl-1-oxide)-N-tert-butylnitrone	CC(C)(C)[N+](=O)C=C1C=CN(C=C1)[O-]	92375	-0.38	
4-fluoroantipyrine	CC1=CC(=O)N(N1C)C2=CC=C(C=C2)F	94957	-0.05	
NSC 30403	CCC1(C(=O)NC(=O)NC1=O)C	95705	-0.22	
norverapamil	CC(C)C(CCCNCCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC	104972	-0.64	
1-hydroxymidazolam	C1C2=CN=C(N2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4F)CO	107917	-0.08	
bretazenil	CC(C)(C)OC(=O)C1=C2C3CCCN3C(=O)C4=C(N2C=N1)C=CC=C4Br	107926	-0.09	
northioridazine	CSC1=CC2=C(C=C1)SC3=CC=CC=C3N2CCC4CCCNC4	114376	0.76	
paliperidone	CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F	115237	-0.67	
N-methylspiroperidol	CN1CN(C2(C1=O)CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C4=CC=CC=C4	119146	0.46	
alaptide	CC1C(=O)NC2(CCCC2)C(=O)N1	119329	-0.26	
2-hydroxydesipramine	CNCCCN1C2=C(CCC3=CC=CC=C31)C=C(C=C2)O	121249	0.53	
4-hydroxymidazolam	CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2O)C4=CC=CC=C4F	124449	-0.22	
fluoroethylflumazenil	CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)CCF	126761	-0.14	
RO 19-4603	CC(C)(C)OC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CS3)C	127382	-0.25	
CHEBI 218555	CC(C)C1=NC(=NO1)C2=C3CN(C(=O)C4=C(N3C=N2)C=CC=C4Cl)C	129710	-0.3	
7-hydroxy ropinirole	CCCN(CCC)CCC1=C2CC(=O)NC2=C(C=C1)O	133741	-0.43	
