inchi_parent,record_id,smiles_resolved,cid,iupac_name,names_resolved,logBB_resolved,logBB_resolution_comment,BBB+/BBB-_resolved,BBB+/BBB-_resolution_comment
"InChI=1S/C10H12ClN5O3/c11-10-14-8(12)7-9(15-10)16(3-13-7)6-1-4(18)5(2-17)19-6/h3-6,17-18H,1-2H2,(H2,12,14,15)/t4-,5+,6+/m0/s1",R28_li_2005:249,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,20279.0,"(2R,3S,5R)-5-(6-amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol",Cladribine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H12ClNO/c11-7-6-10(13)12-8-9-4-2-1-3-5-9/h1-5H,6-8H2,(H,12,13)",R6_adenot_2004:423,O=C(CCCl)NCc1ccccc1,10391.0,N-benzyl-3-chloropropanamide,Beclamide,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H12ClNO2/c11-9-3-1-7(2-4-9)8(6-12)5-10(13)14/h1-4,8H,5-6,12H2,(H,13,14)",R7_andres_2006:15|R14_ghose_2012:15|R25_brito_sanchez_2015:372|R29_subramanian_2003:15|R46_mendoza_valencia_2017:325|R53_friden_2009:4,NCC(CC(=O)O)c1ccc(Cl)cc1,2284.0,4-amino-3-(4-chlorophenyl)butanoic acid,Baclofen,-1.5133333333333334,LogBB group B,BBB-,BBB+/BBB- group A
"InChI=1S/C10H12ClNO4/c11-7-1-3-9(4-2-7)15-5-8(13)6-16-10(12)14/h1-4,8,13H,5-6H2,(H2,12,14)",R6_adenot_2004:1440,NC(=O)OCC(O)COc1ccc(Cl)cc1,2724.0,[3-(4-chlorophenoxy)-2-hydroxypropyl] carbamate,Chlorphenesin-Carbamate|Chlorphenesin Carbamate,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3",R41_toropov_2017:142|R46_mendoza_valencia_2017:180,CN1C(=O)CCC1c1cccnc1,408.0,1-methyl-5-pyridin-3-ylpyrrolidin-2-one,1-Methyl-5-(3-Pyridinyl)-2-Pyrrolidinone,-0.35,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3/t9-/m0/s1",R3_abraham_2006:152|R3_abraham_2006:153|R4_mente_2005:174|R6_adenot_2004:516|R21_muehlbacher_2011:8|R25_brito_sanchez_2015:194|R26_chico_2009:137|R40_vilar_2010:87|R47_radchenko_2020:128,CN1C(=O)CC[C@H]1c1cccnc1,854019.0,(5S)-1-methyl-5-pyridin-3-ylpyrrolidin-2-one,Cotinine|486-56-6,-0.38,LogBB group D,BBB+,BBB+/BBB- group A
"InChI=1S/C10H12N2O2/c13-10(9-2-1-3-11-8-9)12-4-6-14-7-5-12/h1-3,8H,4-7H2",R6_adenot_2004:1263,O=C(c1cccnc1)N1CCOCC1,68116.0,morpholin-4-yl(pyridin-3-yl)methanone,Nicopholine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H12N2O2S/c13-15(14)9-5-2-1-4-8(9)12-7-3-6-10(12)11-15/h1-2,4-5,10-11H,3,6-7H2/t10-/m1/s1",R26_chico_2009:360,O=S1(=O)N[C@H]2CCCN2c2ccccc21,637863.0,"(3aS)-2,3,3a,4-tetrahydro-1H-pyrrolo[2,1-c][1,2,4]benzothiadiazine 5,5-dioxide","S18986|(3As)-2,3,3A,4-Tetrahydro-1H-Pyrrolo[2,1-C][1,2,4]Benzothiadiazine 5,5-Dioxide",-0.6,LogBB group A,BBB+,BBB+/BBB- group A
"InChI=1S/C10H12N2O3/c1-3-5-10(6-4-2)7(13)11-9(15)12-8(10)14/h3-4H,1-2,5-6H2,(H2,11,12,13,14,15)",R6_adenot_2004:1674|R25_brito_sanchez_2015:115|R46_mendoza_valencia_2017:113,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,5842.0,"5,5-bis(prop-2-enyl)-1,3-diazinane-2,4,6-trione",Allobarbital,-0.22,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C10H12N2O4/c1-6-4-12(10(15)11-9(6)14)8-3-2-7(5-13)16-8/h2-4,7-8,13H,5H2,1H3,(H,11,14,15)",R41_toropov_2017:249|R46_mendoza_valencia_2017:153,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,5155.0,"1-[5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-methylpyrimidine-2,4-dione","1-[5-(Hydroxymethyl)-2,5-Dihydrofuran-2-Yl]-5-Methylpyrimidine-2,4-Dione",-0.48,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C10H12N2O4/c1-6-4-12(10(15)11-9(6)14)8-3-2-7(5-13)16-8/h2-4,7-8,13H,5H2,1H3,(H,11,14,15)/t7-,8+/m0/s1",R3_abraham_2006:277|R14_ghose_2012:854|R21_muehlbacher_2011:125|R23_gupta_2019:923|R25_brito_sanchez_2015:157|R26_chico_2009:390|R28_li_2005:287|R40_vilar_2010:261|R47_radchenko_2020:232,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,18283.0,"1-[(2R,5S)-5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-methylpyrimidine-2,4-dione",Stavudine,-0.48,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C10H12N2O6S/c1-3(13)5-7(14)12-6(9(15)16)4(19-8(5)12)2-18-10(11)17/h3,5,8,13H,2H2,1H3,(H2,11,17)(H,15,16)/t3-,5+,8-/m1/s1",R6_adenot_2004:261,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)S[C@H]12,65633.0,"(5R,6S)-3-(carbamoyloxymethyl)-6-[(1R)-1-hydroxyethyl]-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",Ritipenem,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H12N4O3/c1-14-4-9(16)5-2-6(12-13-10(11)17)8(15)3-7(5)14/h2-3,9,15-16H,4H2,1H3,(H2,11,17)/b13-12+",R14_ghose_2012:418,CN1CC(O)c2cc(/N=N/C(N)=O)c(O)cc21,2557.0,"(3,6-dihydroxy-1-methyl-2,3-dihydroindol-5-yl)iminourea",Carbazochrome,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)",R41_toropov_2017:150|R46_mendoza_valencia_2017:194,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,135422442.0,9-[5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one,9-[5-(Hydroxymethyl)Tetrahydrofuran-2-Yl]-9H-Purin-6-Ol,-1.3,LogBB group B,BBB-,BBB+/BBB- group A
"InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m0/s1",R3_abraham_2006:162|R4_mente_2005:37|R5_guerra_2008:38|R7_andres_2006:194|R12_garg_2006:73|R14_ghose_2012:495|R17_fu_2008:52|R23_gupta_2019:520|R25_brito_sanchez_2015:210|R26_chico_2009:162|R28_li_2005:19|R47_radchenko_2020:136|R49_norinder_2002:103,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,135398739.0,"9-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",Didanosine|69655-05-6,-1.297777777777778,LogBB group B,BBB-,BBB+/BBB- group A
"InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m1/s1",R48_hou_2003:43,O=c1[nH]cnc2c1ncn2[C@@H]1CC[C@H](CO)O1,135483777.0,"9-[(2S,5R)-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","9-[(2S,5R)-5-(Hydroxymethyl)Oxolan-2-Yl]-3H-Purin-6-One",-1.3,LogBB group A,BBB-,BBB+/BBB- group A
"InChI=1S/C10H12N4O5S/c1-10(5-13-3-2-11-12-13)8(9(16)17)14-6(15)4-7(14)20(10,18)19/h2-3,7-8H,4-5H2,1H3,(H,16,17)/t7-,8+,10+/m1/s1",R6_adenot_2004:281|R23_gupta_2019:955,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,123630.0,"(2S,3S,5R)-3-methyl-4,4,7-trioxo-3-(triazol-1-ylmethyl)-4lambda6-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",Tazobactam,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H12N4OS/c1-7(15)13-9-4-2-8(3-5-9)6-12-14-10(11)16/h2-6H,1H3,(H,13,15)(H3,11,14,16)/b12-6+",R14_ghose_2012:888,CC(=O)Nc1ccc(/C=N\NC(N)=S)cc1,5370664.0,N-[4-[(Z)-(carbamothioylhydrazinylidene)methyl]phenyl]acetamide,Thiacetazone|N-(4-((2-Carbamothioylhydrazono)Methyl)Phenyl)Acetamide,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H13ClN2/c11-9-2-1-3-10(8-9)13-6-4-12-5-7-13/h1-3,8,12H,4-7H2",R29_subramanian_2003:93,Clc1cccc(N2CCNCC2)c1,1355.0,1-(3-chlorophenyl)piperazine,1-(3-Chlorophenyl)Piperazine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H13ClN2O3S/c1-2-7-12-10(14)13-17(15,16)9-5-3-8(11)4-6-9/h3-6H,2,7H2,1H3,(H2,12,13,14)",R14_ghose_2012:446|R23_gupta_2019:453|R51_doninger_2002:24,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2727.0,1-(4-chlorophenyl)sulfonyl-3-propylurea,Chlorpropamide,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H13FN2O4/c1-5-3-13(10(16)12-9(5)15)8-2-6(11)7(4-14)17-8/h3,6-8,14H,2,4H2,1H3,(H,12,15,16)",R3_abraham_2006:120|R40_vilar_2010:29|R41_toropov_2017:115|R46_mendoza_valencia_2017:115,Cc1cn(C2CC(F)C(CO)O2)c(=O)[nH]c1=O,284240.0,"1-[4-fluoro-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",Alovudine Ok|3'-Fluorothymidine,-0.59,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C10H13FN2O4/c1-5-3-13(10(16)12-9(5)15)8-2-6(11)7(4-14)17-8/h3,6-8,14H,2,4H2,1H3,(H,12,15,16)/t6-,7+,8+/m0/s1",R21_muehlbacher_2011:243|R25_brito_sanchez_2015:117|R26_chico_2009:23|R47_radchenko_2020:102,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,33039.0,"1-[(2R,4S,5R)-4-fluoro-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",Alovudine,-0.59,LogBB group D,BBB+,BBB+/BBB- group A
"InChI=1S/C10H13FN2O5/c1-4-2-13(10(17)12-8(4)16)9-6(11)7(15)5(3-14)18-9/h2,5-7,9,14-15H,3H2,1H3,(H,12,16,17)",R23_gupta_2019:468,Cc1cn(C2OC(CO)C(O)C2F)c(=O)[nH]c1=O,352992.0,"1-[3-fluoro-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",Clevudine|2'-Fluorothymidine,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H13N3/c1-8-4-2-3-5-9(8)13-10-11-6-7-12-10/h2-5H,6-7H2,1H3,(H2,11,12,13)",R4_mente_2005:8|R25_brito_sanchez_2015:564|R40_vilar_2010:288|R47_radchenko_2020:477,Cc1ccccc1NC1=NCCN1,142067.0,"N-(2-methylphenyl)-4,5-dihydro-1H-imidazol-2-amine","36318-56-6|Tz-17|Imidazolidine, 2-(2-Methylphenylimino)-",-1.39,LogBB group B,BBB-,BBB+/BBB- group A
"InChI=1S/C10H13N3/c11-10(12)13-6-5-8-3-1-2-4-9(8)7-13/h1-4H,5-7H2,(H3,11,12)",R23_gupta_2019:500,[H]/N=C(\N)N1CCc2ccccc2C1,2966.0,"3,4-dihydro-1H-isoquinoline-2-carboximidamide",Debrisoquin|Debrisoquine,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H13N3O5S/c1-8-7-19(16,17)5-4-12(8)11-6-9-2-3-10(18-9)13(14)15/h2-3,6,8H,4-5,7H2,1H3/b11-6+",R14_ghose_2012:719,CC1CS(=O)(=O)CCN1/N=C\c1ccc([N+](=O)[O-])o1,6178305.0,"(Z)-N-(3-methyl-1,1-dioxo-1,4-thiazinan-4-yl)-1-(5-nitrofuran-2-yl)methanimine","Nifurtimox|(Z)-N-(3-Methyl-1,1-Dioxo-1,4-Thiazinan-4-Yl)-1-(5-Nitrofuran-2-Yl)Methanimine",,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,11,16H,2,4H2,1H3/p+1",R46_mendoza_valencia_2017:238,Cc1cn(C2CC(N=[N+]=N)C(CO)O2)c(=O)[nH]c1=O,6327751.0,"[2-(hydroxymethyl)-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-3-yl]imino-iminoazanium","1-[2,3-Dideoxy-3-(Triaza-1,2-Dien-2-Ium-1-Yl)Pentofuranosyl]-4-Hydroxy-5-Methylpyrimidin-2(1H)-One",-0.72,LogBB group A,BBB+,BBB+/BBB- group A
"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)",R41_toropov_2017:269|R42_ciura_2020:45,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,5726.0,"1-[4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione","1-[(2R,4S,5S)-4-Azido-5-(Hydroxymethyl)Oxolan-2-Yl]-5-Methyl-Pyrimidine-2,4-Dione",-0.86,LogBB group C,BBB+,BBB+/BBB- group A
"InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)/t6-,7+,8+/m0/s1",R3_abraham_2006:302|R4_mente_2005:42|R5_guerra_2008:107|R7_andres_2006:223|R17_fu_2008:53|R21_muehlbacher_2011:140|R25_brito_sanchez_2015:265|R26_chico_2009:444|R28_li_2005:129|R34_broccatelli_2012:100|R40_vilar_2010:305|R47_radchenko_2020:307|R49_norinder_2002:104|R51_doninger_2002:145|R53_friden_2009:42,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,35370.0,"1-[(2R,4S,5S)-4-azido-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",Zidovudine|30516-87-1,-0.72,LogBB group D,BBB+,BBB+/BBB- group A
