drugbank_id,chembl_id,name,groups,BBB_class,bbb_prob
DB00140,CHEMBL1534,Riboflavin,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",-,0.8495
DB00141,CHEMBL4303483,N-Acetylglucosamine,"['approved', 'investigational', 'nutraceutical']",+,0.7394
DB00142,CHEMBL575060,Glutamic acid,"['approved', 'nutraceutical']",,
DB00143,CHEMBL1543,Glutathione,"['approved', 'investigational', 'nutraceutical']",+,0.6491
DB00144,CHEMBL4297669,Phosphatidyl serine,"['investigational', 'nutraceutical']",+,0.5475
DB00145,CHEMBL773,Glycine,"['approved', 'nutraceutical', 'vet_approved']",+,0.5728
DB00146,CHEMBL1040,Calcifediol,"['approved', 'nutraceutical']",+,0.9164
DB00147,CHEMBL102970,Pyridoxal,"['experimental', 'nutraceutical']",+,0.6605
DB00148,CHEMBL283800,Creatine,"['approved', 'investigational', 'nutraceutical']",+,0.6849
DB00149,CHEMBL291962,Leucine,"['investigational', 'nutraceutical']",,
DB00150,CHEMBL54976,Tryptophan,"['approved', 'nutraceutical', 'withdrawn']",+,0.951
DB00151,CHEMBL863,Cysteine,"['approved', 'nutraceutical']",+,0.5918
DB00152,CHEMBL1547,Thiamine,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",+,0.933
DB00153,CHEMBL1536,Ergocalciferol,"['approved', 'nutraceutical']",+,0.9428
DB00154,CHEMBL465183,Dihomo-gamma-linolenic acid,"['investigational', 'nutraceutical']",+,0.9539
DB00155,CHEMBL444814,Citrulline,"['investigational', 'nutraceutical']",+,0.8961
DB00156,CHEMBL291747,Threonine,"['approved', 'nutraceutical']",-,0.6054
DB00157,CHEMBL1234616,NADH,"['approved', 'nutraceutical']",+,0.5641
DB00158,CHEMBL1622,Folic acid,"['approved', 'nutraceutical', 'vet_approved']",+,0.7609
DB00159,CHEMBL460026,Icosapent,"['approved', 'nutraceutical']",+,0.9314
DB00160,CHEMBL279597,Alanine,['nutraceutical'],,
DB00161,CHEMBL43068,Valine,"['approved', 'nutraceutical']",+,0.5852
DB00162,CHEMBL986,Vitamin A,"['approved', 'nutraceutical', 'vet_approved']",+,0.9665
DB00163,CHEMBL47,Vitamin E,"['approved', 'nutraceutical', 'vet_approved']",+,0.9767
DB00165,CHEMBL1364,Pyridoxine,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",+,0.6889
DB00166,CHEMBL134342,Lipoic acid,"['approved', 'investigational', 'nutraceutical']",+,0.9749
DB00167,CHEMBL1233584,Isoleucine,"['investigational', 'nutraceutical']",+,0.78
DB00168,CHEMBL171679,Aspartame,"['investigational', 'nutraceutical']",-,0.5562
DB00169,CHEMBL1042,Cholecalciferol,"['approved', 'nutraceutical']",+,0.959
DB00170,CHEMBL590,Menadione,"['approved', 'nutraceutical']",+,0.8265
DB00171,CHEMBL14249,ATP,"['investigational', 'nutraceutical']",+,0.9035
DB00172,CHEMBL54922,Proline,['nutraceutical'],+,0.9245
DB00173,CHEMBL226345,Adenine,"['approved', 'nutraceutical']",+,0.9395
DB00174,CHEMBL58832,Asparagine,"['approved', 'investigational', 'nutraceutical']",+,0.8465
DB00175,CHEMBL1144,Pravastatin,['approved'],,
DB00176,CHEMBL814,Fluvoxamine,"['approved', 'investigational']",+,0.9775
DB00177,CHEMBL1069,Valsartan,"['approved', 'investigational']",-,0.8032
DB00178,CHEMBL1168,Ramipril,['approved'],-,0.8726
DB00179,CHEMBL313972,Masoprocol,"['approved', 'investigational']",-,0.5361
DB00180,CHEMBL1512,Flunisolide,"['approved', 'investigational']",+,0.9683
DB00181,CHEMBL701,Baclofen,['approved'],+,0.9339
DB00182,CHEMBL405,Amphetamine,"['approved', 'illicit', 'investigational']",+,0.9565
DB00183,CHEMBL1328,Pentagastrin,['approved'],-,0.8889
DB00184,CHEMBL3,Nicotine,['approved'],+,0.9748
DB00185,,Cevimeline,['approved'],+,0.9823
DB00186,CHEMBL580,Lorazepam,['approved'],+,0.9641
DB00187,CHEMBL768,Esmolol,"['approved', 'withdrawn']",-,0.9645
DB00188,CHEMBL325041,Bortezomib,"['approved', 'investigational']",-,0.6533
DB00189,CHEMBL591,Ethchlorvynol,"['approved', 'illicit', 'withdrawn']",+,0.9685
DB00190,CHEMBL1201236,Carbidopa,['approved'],-,0.9659
DB00191,CHEMBL1574,Phentermine,"['approved', 'illicit']",+,0.959
DB00192,CHEMBL1201242,Indecainide,['approved'],+,0.994
DB00193,CHEMBL1237044,Tramadol,"['approved', 'investigational']",+,0.9382
DB00194,CHEMBL1090,Vidarabine,"['approved', 'investigational']",+,0.9383
DB00195,CHEMBL423,Betaxolol,"['approved', 'investigational']",-,0.8906
DB00196,CHEMBL106,Fluconazole,"['approved', 'investigational']",+,0.9382
DB00197,CHEMBL408,Troglitazone,"['approved', 'investigational', 'withdrawn']",+,0.8183
DB00198,CHEMBL1229,Oseltamivir,['approved'],-,0.9535
DB00199,CHEMBL532,Erythromycin,"['approved', 'investigational', 'vet_approved']",-,0.9889
DB00200,CHEMBL2103737,Hydroxocobalamin,['approved'],-,0.712
DB00201,CHEMBL113,Caffeine,['approved'],+,0.9935
DB00202,CHEMBL703,Succinylcholine,['approved'],+,0.7717
DB00203,CHEMBL192,Sildenafil,"['approved', 'investigational']",+,0.6461
DB00204,CHEMBL473,Dofetilide,"['approved', 'investigational']",+,0.9179
DB00205,CHEMBL36,Pyrimethamine,"['approved', 'investigational', 'vet_approved']",+,0.9383
DB00206,CHEMBL772,Reserpine,"['approved', 'investigational', 'withdrawn']",+,0.9257
DB00207,CHEMBL529,Azithromycin,['approved'],-,0.9739
DB00208,CHEMBL833,Ticlopidine,['approved'],+,0.9906
DB00209,CHEMBL1888176,Trospium,['approved'],+,0.9418
DB00210,CHEMBL1265,Adapalene,['approved'],+,0.7061
DB00211,CHEMBL1201212,Midodrine,['approved'],-,0.856
DB00212,CHEMBL31601,Remikiren,['experimental'],-,0.8746
DB00213,CHEMBL1502,Pantoprazole,['approved'],-,0.5777
DB00214,CHEMBL1148,Torasemide,['approved'],+,0.6871
DB00215,CHEMBL549,Citalopram,['approved'],+,0.9729
DB00216,CHEMBL1510,Eletriptan,"['approved', 'investigational']",+,0.9774
DB00217,CHEMBL1201260,Bethanidine,['approved'],+,0.85
DB00218,CHEMBL32,Moxifloxacin,"['approved', 'investigational']",-,0.9597
DB00219,CHEMBL1201286,Oxyphenonium,['approved'],+,0.9176
DB00220,CHEMBL584,Nelfinavir,['approved'],-,0.9659
DB00221,CHEMBL1201213,Isoetharine,['approved'],-,0.9488
DB00222,CHEMBL1481,Glimepiride,['approved'],+,0.7322
DB00223,CHEMBL1201380,Diflorasone,['approved'],+,0.971
DB00224,CHEMBL115,Indinavir,['approved'],-,0.9923
DB00225,,Gadodiamide,"['approved', 'investigational']",+,0.62
DB00226,CHEMBL1037,Guanadrel,['approved'],+,0.5276
DB00227,CHEMBL503,Lovastatin,"['approved', 'investigational']",+,0.9287
DB00228,CHEMBL1257,Enflurane,"['approved', 'investigational', 'vet_approved']",+,0.994
DB00229,CHEMBL1296,Cefotiam,"['approved', 'investigational']",-,0.9865
DB00230,CHEMBL1059,Pregabalin,"['approved', 'investigational']",+,0.9382
DB00231,CHEMBL967,Temazepam,"['approved', 'investigational']",+,0.9745
DB00232,CHEMBL1577,Methyclothiazide,['withdrawn'],-,0.6866
DB00233,CHEMBL1169,Aminosalicylic acid,['approved'],-,0.7101
DB00234,CHEMBL383921,Reboxetine,"['approved', 'experimental']",+,0.9381
DB00235,CHEMBL189,Milrinone,['approved'],+,0.9807
DB00236,CHEMBL1585,Pipobroman,['approved'],+,0.9859
DB00237,CHEMBL449,Butabarbital,"['approved', 'illicit']",+,0.9782
DB00238,CHEMBL57,Nevirapine,['approved'],+,0.9756
DB00239,CHEMBL1262,Oxiconazole,['approved'],+,0.9699
DB00240,CHEMBL1201361,Alclometasone,['approved'],+,0.9518
DB00241,CHEMBL454,Butalbital,"['approved', 'illicit']",+,0.9703
DB00242,CHEMBL1619,Cladribine,"['approved', 'investigational']",+,0.9386
DB00243,CHEMBL1404,Ranolazine,"['approved', 'investigational']",-,0.5334
DB00244,CHEMBL704,Mesalazine,['approved'],-,0.6168
DB00245,CHEMBL1201203,Benzatropine,['approved'],+,0.9929
DB00246,CHEMBL708,Ziprasidone,['approved'],+,0.9759
DB00247,CHEMBL485253,Methysergide,['approved'],+,0.7015
DB00248,CHEMBL1201087,Cabergoline,['approved'],+,0.9383
DB00249,CHEMBL788,Idoxuridine,"['approved', 'investigational']",+,0.6502
DB00250,CHEMBL1043,Dapsone,"['approved', 'investigational']",+,0.9705
DB00251,CHEMBL1410669,Terconazole,['approved'],+,0.6657
DB00252,CHEMBL16,Phenytoin,"['approved', 'vet_approved']",+,0.976
DB00253,CHEMBL1201173,Medrysone,['approved'],+,0.9705
DB00254,CHEMBL1433,Doxycycline,"['approved', 'investigational', 'vet_approved']",-,0.9881
DB00255,CHEMBL411,Diethylstilbestrol,"['approved', 'investigational', 'withdrawn']",-,0.5559
DB00256,CHEMBL2103929,Lymecycline,"['approved', 'investigational']",-,0.9893
DB00257,CHEMBL104,Clotrimazole,"['approved', 'vet_approved']",+,0.9837
DB00258,CHEMBL1200800,Calcium acetate,"['approved', 'investigational']",+,0.9601
DB00259,CHEMBL21,Sulfanilamide,['approved'],+,0.9795
DB00260,CHEMBL771,Cycloserine,['approved'],+,0.9382
DB00261,CHEMBL760,Anagrelide,['approved'],+,0.848
DB00262,CHEMBL513,Carmustine,"['approved', 'investigational']",+,0.9533
DB00263,CHEMBL453,Sulfisoxazole,"['approved', 'vet_approved']",+,0.9382
DB00264,CHEMBL13,Metoprolol,"['approved', 'investigational']",-,0.8426
DB00265,CHEMBL1200709,Crotamiton,['approved'],+,0.9939
DB00266,CHEMBL1466,Dicoumarol,['approved'],+,0.8343
DB00267,CHEMBL1201224,Cefmenoxime,['approved'],-,0.9756
DB00268,CHEMBL589,Ropinirole,"['approved', 'investigational']",+,0.9971
DB00269,CHEMBL1200761,Chlorotrianisene,"['investigational', 'withdrawn']",+,0.651
DB00270,CHEMBL1648,Isradipine,"['approved', 'investigational']",-,0.8439
DB00271,CHEMBL1201220,Diatrizoate,"['approved', 'vet_approved']",+,0.9152
DB00272,CHEMBL1201323,Betazole,['approved'],+,0.9645
DB00273,CHEMBL220492,Topiramate,['approved'],+,0.9382
DB00274,CHEMBL1201195,Cefmetazole,"['approved', 'investigational']",-,0.9932
DB00275,CHEMBL1516,Olmesartan,"['approved', 'investigational']",-,0.8719
DB00276,CHEMBL43,Amsacrine,"['approved', 'investigational']",+,0.667
DB00277,CHEMBL190,Theophylline,['approved'],+,0.9902
DB00278,CHEMBL1166,Argatroban,"['approved', 'investigational']",-,0.8933
DB00279,CHEMBL1544,Liothyronine,"['approved', 'vet_approved']",-,0.6886
DB00280,CHEMBL517,Disopyramide,['approved'],+,0.9508
DB00281,CHEMBL79,Lidocaine,"['approved', 'vet_approved']",,
DB00282,CHEMBL834,Pamidronic acid,['approved'],+,0.6175
DB00283,CHEMBL1626,Clemastine,"['approved', 'investigational']",+,0.9918
DB00284,CHEMBL1566,Acarbose,"['approved', 'investigational']",-,0.9723
DB00285,CHEMBL637,Venlafaxine,['approved'],+,0.9382
DB00286,CHEMBL2106240,Conjugated estrogens,['approved'],+,0.9486
DB00287,CHEMBL1200799,Travoprost,['approved'],+,0.887
DB00288,CHEMBL1200732,Amcinonide,['approved'],+,0.9897
DB00289,CHEMBL641,Atomoxetine,['approved'],+,0.964
DB00290,CHEMBL403664,Bleomycin,"['approved', 'investigational']",-,0.9732
DB00291,CHEMBL515,Chlorambucil,['approved'],+,0.7889
DB00292,CHEMBL681,Etomidate,['approved'],+,0.95
DB00293,CHEMBL225071,Raltitrexed,"['approved', 'investigational']",-,0.9044
DB00294,CHEMBL1531,Etonogestrel,"['approved', 'investigational']",+,0.9437
DB00295,CHEMBL70,Morphine,"['approved', 'investigational']",+,0.9882
DB00296,CHEMBL1077896,Ropivacaine,['approved'],+,0.9377
DB00297,CHEMBL1098,Bupivacaine,"['approved', 'investigational']",+,0.936
DB00298,CHEMBL1201216,Dapiprazole,['approved'],+,0.9832
DB00299,CHEMBL1540,Penciclovir,['approved'],+,0.9386
DB00300,CHEMBL1538,Tenofovir disoproxil,"['approved', 'investigational']",+,0.9194
DB00301,CHEMBL222645,Flucloxacillin,"['approved', 'investigational']",-,0.9862
DB00302,CHEMBL877,Tranexamic acid,['approved'],+,0.8672
DB00303,CHEMBL1359,Ertapenem,"['approved', 'investigational']",-,0.9811
DB00304,CHEMBL1533,Desogestrel,['approved'],+,0.9619
DB00305,CHEMBL105,Mitomycin,['approved'],-,0.9659
DB00306,CHEMBL1200802,Talbutal,"['approved', 'illicit']",+,0.984
DB00307,CHEMBL1023,Bexarotene,"['approved', 'investigational']",+,0.9022
DB00308,CHEMBL533,Ibutilide,['approved'],+,0.9363
DB00309,CHEMBL238071,Vindesine,"['approved', 'investigational']",-,0.9821
DB00310,CHEMBL1055,Chlorthalidone,['approved'],+,0.5447
DB00311,CHEMBL18,Ethoxzolamide,['withdrawn'],+,0.8667
DB00312,CHEMBL448,Pentobarbital,"['approved', 'investigational', 'vet_approved']",+,0.9713
DB00313,CHEMBL109,Valproic acid,"['approved', 'investigational']",+,0.9626
DB00314,CHEMBL2303634,Capreomycin,['approved'],-,0.9287
DB00315,CHEMBL1185,Zolmitriptan,"['approved', 'investigational']",+,0.8956
DB00316,CHEMBL112,Acetaminophen,['approved'],+,0.9544
DB00317,CHEMBL939,Gefitinib,"['approved', 'investigational']",+,0.9759
DB00318,CHEMBL485,Codeine,"['approved', 'illicit']",+,0.9979
DB00319,CHEMBL702,Piperacillin,['approved'],-,0.9958
DB00320,CHEMBL1732,Dihydroergotamine,"['approved', 'investigational']",-,0.9817
DB00321,CHEMBL629,Amitriptyline,['approved'],+,0.9512
DB00322,CHEMBL917,Floxuridine,['approved'],+,0.768
DB00323,CHEMBL1324,Tolcapone,"['approved', 'withdrawn']",-,0.9418
DB00324,CHEMBL1200600,Fluorometholone,"['approved', 'investigational']",+,0.9716
DB00325,CHEMBL2097081,Nitroprusside,"['approved', 'investigational']",+,0.9314
DB00326,CHEMBL1237066,Calcium glucoheptonate,['approved'],+,0.5646
DB00327,CHEMBL398707,Hydromorphone,"['approved', 'illicit']",+,0.9931
DB00328,CHEMBL6,Indomethacin,"['approved', 'investigational']",+,0.9381
DB00330,CHEMBL44884,Ethambutol,['approved'],-,0.7803
DB00331,CHEMBL1431,Metformin,['approved'],+,0.5868
DB00332,CHEMBL1621597,Ipratropium,"['approved', 'experimental']",+,0.8883
DB00333,CHEMBL651,Methadone,['approved'],+,0.9772
DB00334,CHEMBL715,Olanzapine,"['approved', 'investigational']",+,0.9652
DB00335,CHEMBL24,Atenolol,['approved'],-,0.9505
DB00336,CHEMBL869,Nitrofural,"['approved', 'investigational', 'vet_approved', 'withdrawn']",+,0.9214
DB00337,CHEMBL1200686,Pimecrolimus,"['approved', 'investigational']",-,0.9554
DB00338,CHEMBL1503,Omeprazole,"['approved', 'investigational', 'vet_approved']",-,0.6326
DB00339,CHEMBL614,Pyrazinamide,"['approved', 'investigational']",+,0.9745
DB00340,CHEMBL1201342,Metixene,['approved'],+,0.995
DB00341,CHEMBL1000,Cetirizine,['approved'],+,0.7576
DB00342,CHEMBL17157,Terfenadine,"['approved', 'withdrawn']",+,0.5319
DB00343,CHEMBL23,Diltiazem,"['approved', 'investigational']",+,0.506
DB00344,CHEMBL668,Protriptyline,['approved'],+,0.9862
DB00345,CHEMBL463,Aminohippuric acid,"['approved', 'investigational']",+,0.9304
DB00346,CHEMBL709,Alfuzosin,"['approved', 'investigational']",+,0.6215
DB00347,CHEMBL695,Trimethadione,['approved'],+,0.9479
DB00348,CHEMBL1337,Nitisinone,"['approved', 'investigational']",+,0.87
DB00349,CHEMBL70418,Clobazam,"['approved', 'illicit']",+,0.9904
DB00350,CHEMBL802,Minoxidil,"['approved', 'investigational']",+,0.9496
DB00351,CHEMBL1201139,Megestrol acetate,"['approved', 'investigational', 'vet_approved']",+,0.9617
DB00352,CHEMBL727,Tioguanine,['approved'],+,0.8663
DB00353,CHEMBL1201356,Methylergometrine,['approved'],+,0.6556
DB00354,CHEMBL1201271,Buclizine,['approved'],+,0.9382
DB00355,CHEMBL158,Aztreonam,['approved'],-,0.9657
DB00356,CHEMBL1371,Chlorzoxazone,['approved'],+,0.991
DB00357,CHEMBL488,Aminoglutethimide,"['approved', 'investigational']",+,0.9908
DB00358,CHEMBL416956,Mefloquine,"['approved', 'investigational']",+,0.9445
DB00359,CHEMBL439,Sulfadiazine,"['approved', 'investigational', 'vet_approved']",+,0.9383
DB00360,CHEMBL1201774,Sapropterin,"['approved', 'investigational']",+,0.5558
DB00361,CHEMBL553025,Vinorelbine,"['approved', 'investigational']",-,0.8815
DB00362,CHEMBL264241,Anidulafungin,"['approved', 'investigational']",-,0.9833
DB00363,CHEMBL42,Clozapine,['approved'],+,0.9614
DB00364,CHEMBL2029132,Sucralfate,['approved'],+,0.8803
DB00365,CHEMBL583,Grepafloxacin,"['approved', 'investigational', 'withdrawn']",-,0.9855
DB00366,CHEMBL1004,Doxylamine,"['approved', 'vet_approved']",+,0.9491
DB00367,CHEMBL1389,Levonorgestrel,"['approved', 'investigational']",+,0.9453
DB00368,CHEMBL1437,Norepinephrine,['approved'],-,0.9762
DB00369,CHEMBL152,Cidofovir,['approved'],+,0.9061
DB00370,CHEMBL654,Mirtazapine,['approved'],+,0.9855
DB00371,CHEMBL979,Meprobamate,"['approved', 'illicit']",+,0.9864
DB00372,CHEMBL1378,Thiethylperazine,"['approved', 'withdrawn']",+,0.9847
DB00373,CHEMBL499,Timolol,['approved'],-,0.6467
DB00374,CHEMBL1237119,Treprostinil,"['approved', 'investigational']",+,0.5541
DB00375,CHEMBL1909303,Colestipol,['approved'],+,0.8825
DB00376,CHEMBL1490,Trihexyphenidyl,['approved'],+,0.9523
DB00377,CHEMBL1189679,Palonosetron,"['approved', 'investigational']",+,0.9953
DB00378,CHEMBL1200853,Dydrogesterone,"['approved', 'investigational', 'withdrawn']",+,0.982
DB00379,CHEMBL558,Mexiletine,"['approved', 'investigational']",+,0.9382
DB00380,CHEMBL1738,Dexrazoxane,"['approved', 'withdrawn']",+,0.6387
DB00381,CHEMBL1491,Amlodipine,['approved'],-,0.7744
DB00382,CHEMBL95,Tacrine,"['approved', 'investigational', 'withdrawn']",+,0.978
DB00383,CHEMBL1495,Oxyphencyclimine,['approved'],+,0.7384
DB00384,CHEMBL585,Triamterene,['approved'],+,0.8735
DB00385,CHEMBL1096885,Valrubicin,['approved'],-,0.8907
DB00387,CHEMBL86715,Procyclidine,['approved'],+,0.9734
DB00388,CHEMBL1215,Phenylephrine,['approved'],-,0.9115
DB00389,CHEMBL508102,Carbimazole,"['approved', 'investigational']",+,0.9725
DB00390,CHEMBL1751,Digoxin,['approved'],-,0.7241
DB00391,CHEMBL26,Sulpiride,"['approved', 'investigational']",+,0.9444
DB00392,CHEMBL1206,Profenamine,['approved'],+,0.9915
DB00393,CHEMBL1428,Nimodipine,"['approved', 'investigational']",-,0.9358
DB00394,CHEMBL1200500,Beclomethasone dipropionate,"['approved', 'investigational']",+,0.9851
DB00395,CHEMBL1233,Carisoprodol,['approved'],+,0.9679
DB00396,CHEMBL103,Progesterone,"['approved', 'vet_approved']",+,0.982
DB00397,CHEMBL61006,Phenylpropanolamine,"['approved', 'vet_approved', 'withdrawn']",+,0.5843
DB00398,CHEMBL1336,Sorafenib,"['approved', 'investigational']",+,0.851
DB00399,CHEMBL924,Zoledronic acid,['approved'],+,0.825
DB00400,CHEMBL562,Griseofulvin,"['approved', 'investigational', 'vet_approved']",+,0.9208
DB00401,CHEMBL1726,Nisoldipine,['approved'],-,0.947
DB00402,CHEMBL1522,Eszopiclone,"['approved', 'investigational']",+,0.9382
DB00403,CHEMBL1201355,Ceruletide,['approved'],-,0.7051
DB00404,CHEMBL661,Alprazolam,"['approved', 'illicit', 'investigational']",+,0.9794
DB00405,CHEMBL1201287,Dexbrompheniramine,['approved'],+,0.9576
DB00406,CHEMBL459265,Gentian violet cation,['approved'],+,0.7198
DB00407,,Ardeparin,"['approved', 'investigational', 'withdrawn']",,
DB00408,CHEMBL831,Loxapine,['approved'],+,0.9801
DB00409,CHEMBL22242,Remoxipride,"['approved', 'withdrawn']",+,0.9705
DB00410,CHEMBL719,Mupirocin,"['approved', 'investigational', 'vet_approved']",-,0.5988
DB00411,CHEMBL965,Carbamoylcholine,['approved'],+,0.9727
DB00412,CHEMBL121,Rosiglitazone,"['approved', 'investigational']",+,0.8994
DB00413,CHEMBL301265,Pramipexole,"['approved', 'investigational']",+,0.9631
DB00414,CHEMBL1589,Acetohexamide,"['approved', 'investigational', 'withdrawn']",+,0.8308
DB00415,CHEMBL174,Ampicillin,"['approved', 'vet_approved']",-,0.9961
DB00416,CHEMBL1739,Metocurine iodide,"['approved', 'withdrawn']",+,0.9374
DB00417,CHEMBL615,Phenoxymethylpenicillin,"['approved', 'vet_approved']",-,1.0
DB00418,CHEMBL447,Secobarbital,"['approved', 'vet_approved']",+,0.9762
DB00419,CHEMBL1029,Miglustat,['approved'],-,0.9011
DB00420,CHEMBL564,Promazine,"['approved', 'vet_approved']",+,0.987
DB00421,CHEMBL1393,Spironolactone,['approved'],+,0.932
DB00422,CHEMBL796,Methylphenidate,"['approved', 'investigational']",+,0.9663
DB00423,CHEMBL1201117,Methocarbamol,"['approved', 'vet_approved']",+,0.5747
DB00424,CHEMBL1331216,Hyoscyamine,['approved'],+,0.9569
DB00425,CHEMBL911,Zolpidem,['approved'],+,0.9392
DB00426,CHEMBL880,Famciclovir,"['approved', 'investigational']",+,0.9429
DB00427,CHEMBL855,Triprolidine,['approved'],+,0.9664
DB00428,CHEMBL1603,Streptozocin,"['approved', 'investigational']",-,0.9659
DB00429,CHEMBL1237105,Carboprost tromethamine,['approved'],-,0.5581
DB00430,CHEMBL1201204,Cefpiramide,['approved'],-,0.9936
DB00431,CHEMBL15891,Lindane,"['approved', 'withdrawn']",+,0.9862
DB00432,CHEMBL1129,Trifluridine,"['approved', 'investigational']",+,0.7348
DB00433,CHEMBL728,Prochlorperazine,"['approved', 'vet_approved']",+,0.9781
DB00434,CHEMBL516,Cyproheptadine,['approved'],+,0.986
DB00435,CHEMBL1200689,Nitric Oxide,['approved'],+,0.9785
DB00436,CHEMBL1684,Bendroflumethiazide,['approved'],-,0.7807
DB00437,CHEMBL1467,Allopurinol,['approved'],+,0.9885
DB00438,CHEMBL44354,Ceftazidime,['approved'],-,0.9857
DB00439,CHEMBL1477,Cerivastatin,"['approved', 'withdrawn']",+,0.9381
DB00440,CHEMBL22,Trimethoprim,"['approved', 'vet_approved']",+,0.9381
DB00441,CHEMBL888,Gemcitabine,['approved'],+,0.9693
DB00442,CHEMBL713,Entecavir,"['approved', 'investigational']",+,0.873
DB00443,CHEMBL632,Betamethasone,"['approved', 'vet_approved']",+,0.9781
DB00444,CHEMBL452231,Teniposide,['approved'],-,0.9584
DB00445,CHEMBL417,Epirubicin,['approved'],-,0.9951
DB00446,CHEMBL130,Chloramphenicol,"['approved', 'vet_approved', 'withdrawn']",+,0.9366
DB00447,CHEMBL1013,Loracarbef,"['approved', 'investigational', 'withdrawn']",-,0.9659
DB00448,CHEMBL480,Lansoprazole,"['approved', 'investigational']",+,0.7007
DB00449,CHEMBL1201262,Dipivefrin,['approved'],-,0.9747
DB00450,CHEMBL1108,Droperidol,"['approved', 'vet_approved']",+,0.9602
DB00451,CHEMBL1624,Levothyroxine,['approved'],-,0.6886
DB00452,CHEMBL184618,Framycetin,['approved'],,
DB00453,CHEMBL2106071,Clomocycline,['experimental'],-,0.9659
DB00454,CHEMBL607,Meperidine,['approved'],+,0.9876
DB00455,CHEMBL998,Loratadine,"['approved', 'investigational']",+,0.9754
DB00456,CHEMBL617,Cefalotin,"['approved', 'investigational', 'vet_approved']",-,0.9956
DB00457,CHEMBL2,Prazosin,['approved'],+,0.9479
DB00458,CHEMBL11,Imipramine,['approved'],+,0.9865
DB00459,CHEMBL1131,Acitretin,['approved'],-,0.5841
DB00460,CHEMBL2052016,Verteporfin,"['approved', 'investigational']",+,0.6313
DB00461,CHEMBL1070,Nabumetone,['approved'],+,0.9401
DB00462,CHEMBL1354199,Methscopolamine bromide,['approved'],+,0.6997
DB00463,CHEMBL450,Metharbital,['withdrawn'],+,0.9862
DB00464,CHEMBL1200354,Sodium tetradecyl sulfate,"['approved', 'investigational']",+,0.9525
DB00465,CHEMBL469,Ketorolac,['approved'],+,0.7918
DB00466,CHEMBL1908342,Picrotoxin,['experimental'],+,0.5
